track_id,track_name,artist,genre,danceability,energy,valence,acousticness,speechiness,instrumentalness,liveness,tempo,loudness,popularity
1khmgu0pveJbkbpbkyvcQv,La Romana,Bad Bunny,latin,0.655,0.725,0.326,0.0327,0.188,0.00264,0.0611,125.8,-5.497000000000001,74
1KSqYYJFyfTecXFk9M0prc,Escápate Conmigo (feat. Ozuna),Wisin,latin,0.7440000000000001,0.8590000000000001,0.787,0.0256,0.0795,6.27e-05,0.0881,91.977,-3.1660000000000004,74
48zFZh27QU5qsrBjn4C2FA,Vaina Loca,Ozuna,latin,0.754,0.805,0.555,0.315,0.0752,0.0,0.203,93.982,-4.249,74
4PEfJZpVjdclfzZ9XO8uDw,Hasta Abajo,Kevin Roldan,latin,0.7140000000000001,0.6709999999999999,0.6409999999999999,0.289,0.362,0.0,0.325,169.732,-5.119,73
5YJ4BVvTFmVCxUyhKejHfR,Pa' Que Retozen,Tego Calderon,latin,0.815,0.856,0.872,0.4,0.122,8.340000000000001e-05,0.244,91.995,-3.825,73
6kdCN6gTWLcLxmLXoUcwuI,Eres,Café Tacvba,latin,0.583,0.731,0.446,0.0107,0.0271,0.0136,0.238,149.987,-6.18,73
1q8NdCAQ9QUjpYiqzdd3mv,Atrévete-Te-Te,Calle 13,latin,0.8290000000000001,0.878,0.883,0.0959,0.101,0.0,0.7759999999999999,87.991,-5.9510000000000005,73
5nZYc9ZDMhlXv6iWahZTU8,Ven Bailalo - Reggaeton Mix,Angel Y Khriz,latin,0.675,0.919,0.726,0.0606,0.0366,0.0065299999999999,0.103,97.017,-6.075,73
53uKGbcMjEc2gIWbfmvpdS,Mírame - Remix,Nio Garcia,latin,0.74,0.83,0.78,0.119,0.153,1.32e-05,0.243,176.054,-3.2430000000000003,73
1Wrzhfa5bNlqvsnCztz190,Devuélveme a mi chica,Hombres G,latin,0.603,0.843,0.503,0.0031,0.0557,0.0337,0.445,172.676,-7.597,73
6z5Xrx58p5Bs18RIe6KXbI,"Lo Que Pasó, Pasó",Daddy Yankee,latin,0.816,0.747,0.848,0.102,0.0411,0.0,0.263,97.019,-6.468,73
53v2u51nq3CxiKUNphRzP1,Que Malo,Bad Bunny,latin,0.802,0.787,0.446,0.0832,0.0599,0.0,0.153,94.026,-6.181,73
7anSoGdgtmJTAPZBzcPhO6,Cuaderno,Dalex,latin,0.6809999999999999,0.648,0.688,0.523,0.38,0.0,0.104,172.02,-5.021,73
5gflgO9EPbIBf16n5TKnQS,Yo Voy (feat. Daddy Yankee),Zion & Lennox,latin,0.8079999999999999,0.6970000000000001,0.5539999999999999,0.041,0.241,0.0,0.0546,95.06,-5.899,73
4skuEIloXWuxxgekKupkEH,Tu Falta De Querer,Mon Laferte,latin,0.394,0.475,0.441,0.0251,0.028,0.00749,0.112,129.995,-7.935,73
5wPhERt9izm1T45aFXDWPe,Todavia,La Factoria,latin,0.785,0.901,0.6,0.0867,0.0553,0.000271,0.0903,113.289,-3.205,73
5PXsZaT8cOxb4mXrA20PMQ,Baila Baila Baila,Ozuna,latin,0.8370000000000001,0.626,0.5920000000000001,0.0588,0.152,0.0,0.252,99.987,-5.674,73
1LiN0Z98FkR1t0m8KmLcAH,Amanece,Anuel AA,latin,0.79,0.631,0.889,0.4370000000000001,0.0425,0.0,0.158,94.039,-5.549,73
6rPO02ozF3bM7NnOV4h6s2,Despacito - Remix,Luis Fonsi,latin,0.653,0.816,0.816,0.228,0.1669999999999999,0.0,0.0967,178.085,-4.353,73
